"","Soil_property","ME","RMSE","r2"
"1","CECo","-0.00419372399590419","4.29902877759584",0.526249743860988
"3","OCo","3.66189158698424e-05","0.249115654848832",0.9079134775072
"5","clayo","-0.00703797144384494","5.44721980811741",0.716598425635566
