"","idp","Clay.A","Clay.B","Clay.C","CEC.A","CEC.B","CEC.C","OC.A","OC.B","OC.C","dem","twi","vdchn","evim","evisd","lstm","lstsd","ndwi.a","ndwi.b","X","Y"
"1",200,0.209473618806638,0.20736535896994,-0.061363906750847,-0.051796232647795,0.163399711878531,0.34087710977584,0.83883269177778,0.0129030134373839,-0.0929789684326845,0.0716128986795987,-0.999552434336914,1.05562382664543,0.0337400120282773,0.532875422399348,-0.23601954086975,0.193794774719035,0.227675439863931,0.0262115137349871,0.0374509680441776,0.306551798215065
"2",203,-0.379396218541238,1.41544310224713,2.55440503355479,-0.224975195011301,1.26874928081611,1.91107165022466,2.49677430290357,0.994027863332778,1.2977336429392,-0.740435951509116,0.443123391592554,0.0327936114335774,0.448105118215952,-0.811407611282328,0.489375079527572,-1.60678221996409,-0.804093011218551,-0.111628454478559,0.989939159471733,-2.23141728086884
"3",1742,-0.300850449517376,1.62523850683003,2.36250091925529,-0.378382115853706,1.1044766208367,1.03313048646339,1.85510862524521,2.10091880874199,1.41751936738682,-0.628393398659372,-0.860864597256329,-0.30444304102025,1.10920090652698,0.0307313778565781,0.0536086267690744,-1.92444369420349,-0.436048646118013,-0.206371958853245,1.0936776702279,-2.0435429015994
"4",1743,0.110580474489204,0.403663208502849,0.129274227570189,0.394332988813252,0.628389587539004,-0.306974116856477,0.765295891276256,0.0517173451678868,-0.393491501404327,-0.819988973084669,-0.448685177520991,0.399978357562739,0.60804974096339,-0.797849620896001,0.373422265089452,-0.653316349734466,-0.898434169375864,-0.241438616837097,0.42493907438661,-1.08240424304944
"5",1744,-0.0652127228838238,0.290642691571305,0.212061410398166,0.291567909790602,0.396304732472521,-0.378234275057139,0.90722389963322,-0.392213764623706,-0.265470460797328,-0.658496201317132,-0.895439676043776,0.937840376668883,-0.00602307452754519,-0.939820988539383,0.53112279710544,-1.08016273614946,-0.564750482974879,-0.997365592346813,0.343868441414249,-1.17964862115048
"6",1747,1.84646458649099,-0.106138786487592,-0.207190779020363,2.40222544845667,-0.100369859667166,-0.32436830113151,-0.819703844038495,-1.3818962942587,-0.858409945317427,-0.787263652504423,-0.240873259390143,-0.800815858093895,0.229975954492357,0.158324655254142,0.372889674091891,-1.26660188704305,-0.415334641881689,0.444463865608403,0.792500778924355,-2.08386886331966
"7",1751,0.400862795843813,-0.306887629350225,-0.662899640935384,0.73246515164172,-0.201078744061397,0.106560028933804,-0.290856360201939,-0.537595196955997,-0.211566845176762,1.71933616324113,0.132338410677897,-0.652481644147308,-1.75345741932658,-0.716374005589748,1.88678877727003,1.63287399362932,-1.16830465870287,0.370496104796716,-1.5560756855191,-0.941639101253474
"8",1754,-0.863356212738825,-1.46150859673583,-1.00012418052415,-1.0624126381353,-1.90781743744892,-1.79221757192067,-0.234621925102933,0.0455364808880626,-0.0498560737800882,-0.652794901437548,0.135833971099775,1.29051221647763,-0.041892590796388,-0.945520976136895,0.523379850192054,-1.28675157550869,-0.828737799647507,-0.844695418656666,0.350846140746064,-1.18020119023593
"9",1755,0.523991539407295,0.993022390141689,0.676884312838829,0.623941641435185,1.16619927407256,1.26467941099032,-1.74115405314016,-0.395367998114484,-0.481084815472415,-0.865501138074559,-0.137539717457661,-0.0602092309639568,0.779212713100224,-0.60533199111537,0.713877318376562,0.100217429886907,-1.38370177948022,2.86173265398581,0.461318509048956,-1.22310651975394
"10",1756,0.139006664916976,1.16032424845769,0.74979800417055,-0.0783867837753401,1.0807624276018,1.07614836758555,-0.757386719071267,-0.531193868648834,-0.534988390126254,-0.929225646989244,-0.729587064121395,-0.758671920967814,1.59386117960426,0.0445619419475579,0.741548174302222,1.07311958609305,-0.725806483286845,2.39486798077007,0.487585159941503,-1.2226859156641
