field_1,id,analitico_,analitic_1,analitic_2,analitic_3,analitic_4,analitic_5,analitic_6,analitic_7,analitic_8,analitic_9,analitic10,analitic11,analitic12,analitic13,analitic14,analitic15,analitic16,analitic17,analitic18,analitic19,analitic20,analitic21,analitic22,analitic23,analitic24,analitic25,analitic26,analitic27,analitic28,analitic29,analitic30,analitic31,analitic32,barnices,co3,color_hume,color_seco,concrecion,consistenc,consiste_1,consiste_2,consiste_3,estructura,estructu_1,estructu_2,formacione,humedad,id.1,limite_tip,limite_for,moteados,perfil_num,perfil_pro,perfil_cob,perfil_mat,perfil_mod,perfil_fec,perfil_veg,perfil_obs,perfil_cap,perfil_ubi,perfil_u_1,perfil_u_2,perfil_u_3,perfil_pai,perfil_p_1,perfil_p_2,perfil_hum,perfil_ero,perfil_e_1,perfil_ped,perfil_p_3,perfil_ser,perfil_s_1,perfil_s_2,perfil_gru,perfil_g_1,perfil_fas,perfil_f_1,perfil_sal,perfil_uso,perfil_rel,perfil_per,perfil_esc,perfil_pen,perfil_ane,perfil_dre,perfil_pos,ph,profundida,profundi_1,raices,textura,tipo
1,3,3135,19.6,NA,15.1,8.3,9.1,7.5,1039,NA,NA,6.3,4.2,17.8,0.23,0.072,10,35.7,42.5,3.7,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,80 - 95,NA,6,,CO3Ca+,10YR 5/3,10YR 6/4,,,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1928,gradual,suave,"Fe Mn++ finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,9,100,65,,NA,B31
2,3,3137,14.7,NA,13.4,8.7,9.3,7.5,1593,NA,NA,2.4,3.8,12.9,0.02,NA,7.9,36,47.4,3.7,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,180 - 210,NA,NA,,,10YR 4/4,10YR 5/4,,suelto,muy friable,no ahesivo,no plástico,masiva,,,,,1930,,,"Fe Mn comunes, finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,9,NA,130,,NA,C
3,3,3134,25.7,16.8,18.3,6.6,7.5,5.9,2286,6.4,5.1,4.8,0.5,30.2,0.45,0.072,7.5,29.6,37.5,2.7,0,0,0,0,NA,NA,NA,3.2,92,84,NA,40 - 55,NA,6,,,10YR 3/4,10YR 4/4,,,firme,no ahesivo,no plástico,prismas,gruesos,fuerte,,,1927,claro,suave,"++ finos, precisos (10YR 3/2",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,6.5,65,35,2,NA,B2t
4,3,3132,19.5,16.2,18.4,6.4,6.9,5.7,5198,9.5,3.5,2.8,0.4,17.4,1.8,0.18,13.3,40.3,39.3,3,0,0,0,0,NA,NA,NA,4.6,88,78,NA,12 - 25,NA,10,,,10YR 3/1,,,muy duro,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1925,abrupto,suave,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,6.5,25,12,2,NA,A1
5,3,3136,18.8,NA,13.4,8.8,9.5,7.8,1143,NA,NA,6.3,5,15.8,0.05,0.037,7.1,33.8,46.2,4.2,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,110 - 125,NA,NA,,,10YR 5/3,,,,friable,no ahesivo,no plástico,bloques subangulares,medios,débil,,,1929,,,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,NA,130,100,,NA,B32
6,3,3133,16.5,14.6,14.1,6.5,7.2,5.8,5891,6.3,4.8,3,0.5,14.6,0.82,0.092,12.7,36.8,45.2,3.4,0,0,0,0,NA,NA,NA,3.1,100,83,NA,25 - 35,NA,9,,,10YR 4/2,10YR 6/2,,ligeramente duro,friable,no ahesivo,no plástico,bloques subangulares,finos,débil,"Krotovinas; Fe depositado entre las raíces",,1926,claro,suave,"Fe Mn+  finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,7,35,25,2,NA,A2
7,3,3131,21.8,17,20.8,6,6.4,5.5,3751,10.3,3.2,3.2,0.3,17.2,2.8,0.28,13.6,39.3,40.7,2.8,0,0,0,0,NA,NA,NA,6.1,82,74,NA,0 - 12,NA,10,,,10YR 3/1,10YR 4/1,,muy duro,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1924,abrupto,suave,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,NA,12,0,3,NA,Ap
8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,13/1255-C,NA,NA,,true,1969-10-24,,,,8 Km. al SE de la localidad de San Vicente,,3557-19-1,NA,,,,,,,,,Alejandro Korn,,NA,NA,Argiacuol Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
9,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,9/1433-C,NA,NA,,true,1969-10-22,,,,7.9 Km. al ENE de  Estacion Loma Verde,,3557-19-3 Loma Verde,NA,,,,,,,,,Los Mochos,,NA,NA,Natracualf Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
10,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,1/317-C,NA,NA,,true,1966-10-24,,,,11.5 Km. al SSW. de Estacion Lozano,,3560-17-4 Lozano,NA,,,,,,,,,Navarro,,NA,NA,Argialbol Argiacuico,NA,,,,,,,,,,,NA,NA,NA,,NA,
11,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,12/778-C,NA,NA,,true,1966-09-15,,,,5.3 Km. al SSW de Estacion Franklin (F.C.G.S.M.).,,3560-10-4 Franklin,NA,,,,,,,,,Suipacha,Su,NA,NA,Argialbol Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
12,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,14/360-C,NA,NA,,true,1966-10-18,,,,9.6 Km. al SW de Estacion Suipacha.,343,3560-16-4,13,,,,,,,,,Zapiola,,NA,NA,Natracualf Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
13,316,4943,28.5,15.1,18.4,5.1,5.6,4.7,3957,11.7,2.5,NA,0.1,29.4,0.94,0.095,30.4,65.9,4.2,0.5,0,0,0,0,NA,NA,NA,4.1,82,46.5,NA,20-27,NA,10,,,10YR 3/2,10YR 4/2,,duro,,adhesivo,plástico,bloques angulares,gruesos,fuerte,compactado y pozos,seco,20,claro,suave,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,5.5,29,18,3,NA,A1
14,316,4948,33.4,NA,26.6,7.3,8.1,7.3,1813,NA,NA,NA,0.4,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,47,NA,205-225,NA,NA,,+++,"7,5YR 5/4","7,5YR 7/2",Ca ++,,friable,adhesivo,plástico,agregados laminares o platiformes,,,nódulos cementados,húmedo,25,,,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,8,220,200,,NA,C
15,316,4945,40.7,29,32.2,5.9,6.4,5.2,2134,19.3,8,NA,0.2,47.6,0.44,0.067,21.5,48.1,3.9,0.4,0,0,0,0,NA,NA,NA,2.7,90,74.5,NA,38-72,NA,7,Clhm +++,,"7,5YR 4/2",,,extremadamente duro,,adhesivo,muy plástico,prismas,gruesos,fuerte,Clhm (10YR 3/3),fresco,22,claro,suave,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,6,98,40,1,NA,B21
16,316,4944,27,14.9,17.3,5.4,5.7,4.8,4223,11,3,NA,0.1,29.1,0.58,0.072,31.1,66.3,4.2,0.4,0,0,0,0,NA,NA,NA,3.1,86,45,NA,30-38,NA,8,Clsk +,,10YR 3/3,10YR 4/3,,duro,,adhesivo,plástico,bloques subangulares,,fuerte,,seco,21,claro,suave,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,6,40,29,2,NA,B1
17,316,4942,25,14.3,17.7,5.2,5.5,4.9,3646,10.7,2.3,NA,0.1,21.3,1.15,0.108,30.7,73.8,4.3,0.6,0,0,0,0,NA,NA,NA,4.1,81,38.5,NA,3-15,NA,11,,,10YR 3/2,"10YR 5,5/2",,blando,,adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,grietas en superficie de 5 mm.,seco,19,abrupto,suave,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,5.5,18,0,3,NA,Ap
18,316,4947,31.1,24.8,26.6,6.2,6.7,5.4,1995,18,5.1,NA,0.2,13.5,0.07,NA,35.8,81,4.7,0.8,0,0,0,0,NA,NA,NA,1.5,93,40.5,NA,166-183,NA,NA,Clsk +,,"7,5YR 4/4",,Ca ++,,firme,adhesivo,plástico,bloques angulares,gruesos,moderado,cementación incipiente,húmedo,24,gradual,,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,7,200,139,,NA,B3
19,316,4946,33.5,24.2,27,6.2,6.5,5.2,2280,17.1,5.4,NA,0.2,31.2,0.14,0.03,28.7,64.4,3.9,0.5,0,0,0,0,NA,NA,NA,2.1,90,53.5,NA,116-128,NA,5,Clsk ++,,"7,5YR 4/3",,,duro,firme,adhesivo,plástico,prismas,gruesos,moderado,,fresco,23,claro,suave,,12/1219 C,1200,NA,,false,1967-12-15,Rastrojo de trigo,"El calcáreo aparece en ciertos sectores del B3.
Factor limitante: falta de escurrimiento de las aguas durante lluvias copiosas.",,"2,2 km al S.S.O. de Estación Fighiera",,3360-21-3,90,,,11-1-N/S,no uniforme,nula,,,grado 0,Roldán,,NA,NA,,NA,,clase 0,agrícola,normal,lenta,medio,0 - 1%,clase 5,clase 3,loma,6.5,139,98,1,NA,B22
20,319,NA,27.4,15.6,18.5,5.1,5.6,4.7,4921,11.3,3.3,0.9,0.1,31.2,0.63,0.072,26.2,63.1,5,0.7,0,0,0,0,NA,NA,NA,3.1,84,NA,NA,32-40,NA,9,+,,10YR 3/3,10YR 5/2,,duro,,adhesivo,plástico,bloques subangulares,medios,moderado,lixiviado,seco,35,abrupto,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,6.5,42,29,2,NA,B1
21,319,NA,33.4,24.8,26.7,5.8,6.5,5.1,2280,19.5,3.8,1.3,0.2,30.8,0.2,0.044,29.2,64.5,4.3,0.4,0,0,0,0,NA,NA,NA,2.1,93,NA,NA,100-113,NA,5,Clsk ++,,7.5YR 4/2.5,7.5YR 5.5/4,,duro,,adhesivo,plástico,prismas,gruesos,fuerte,,fresco,37,claro,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,7,127,92,1,NA,B22
22,319,NA,28.9,15.1,18.5,4.9,5.2,4.7,6275,11.2,2.7,1.1,0.1,29.2,1.12,0.097,31.2,66.4,3.9,0.5,0,0,0,0,NA,NA,NA,4.1,82,NA,NA,22-27,NA,11,,,10YR 3/2,10YR 4.5/2,,duro,,adhesivo,ligeramente plástico,bloques subangulares,finos,moderado,poroso lixiviado,seco,34,claro,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,6.5,29,19,3,NA,A12
23,319,NA,27.5,14.9,18.1,5.2,5.4,5,5783,11.5,1.9,1.4,0.1,23,1.32,0.121,33.8,71.7,4.6,0.7,0,0,0,0,NA,NA,NA,4.1,82,NA,NA,5-15,NA,11,,,10YR 3/2,10YR 4.5/2,,ligeramente duro,,adhesivo,ligeramente plástico,bloques subangulares,finos,moderado,,seco,33,abrupto,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,6.5,19,0,3,NA,Ap1
24,319,NA,28.8,21.9,22.8,6.1,6.7,5.3,2461,16.6,3.8,1.3,0.2,18.7,0.1,NA,33.3,74.2,6.2,0.9,0,0,0,0,NA,NA,NA,1.5,96,NA,NA,150-175,NA,NA,Clsk +,,7.5YR 4.5/4,7.5YR 6.5/4,,,friable,adhesivo,ligeramente plástico,bloques subangulares,gruesos,moderado,incipiente cementación,fresco a húmedo,38,gradual,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,7,205,127,,NA,B3
25,319,NA,28.9,NA,23.9,7.4,8,7,2174,NA,NA,1.7,0.2,20.1,0.08,NA,29.6,73.4,5.4,1.1,0,0,0,3.7,NA,NA,NA,NA,NA,NA,NA,210-230,NA,NA,,+++,7.5YR 5/4,7.5YR 7/2.5,Ca ++,,friable,ligeramente adhesivo,ligeramente plástico,agregados laminares o platiformes,,,incipiente cementación,húmedo,39,,,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,8.5,270,205,,NA,C
26,319,NA,39.6,26,28.1,5.5,6,4.9,2461,20.2,4.2,1.4,0.2,47.9,0.51,0.056,20.2,48.4,3.4,0.3,0,0,0,0,NA,NA,NA,3.8,93,NA,NA,50-70,NA,9,Clhm +++,,7.5YR 3.5/2,7.5YR 5/2,,extremadamente duro,,adhesivo,muy plástico,prismas,gruesos,fuerte,slickensides,fresco,36,claro,suave,,12/1220 C,850,70,,false,1967-12-15,Alfalfar,"B21 slickensides poco manifiestos. Grietas de hasta 7 cm. de espesor abundantes.
C con pequeños granulitos.",,3 km. al S.S.E. de Empalme Villa Constitución,397,3360-21-3,109,,,,no uniforme,nula,,,grado 0,Ramallo,Ra,NA,NA,,NA,,clase 0,agricolo-ganadero,normal,lenta,medio,0 - 1%,,clase 3,,6.5,92,42,1,NA,B21
27,326,4634,31.5,20.8,21.7,7.4,7.9,6.4,1404,9.1,5.3,3.2,3.2,20.8,0.19,0.04,30.2,67.7,10.1,1.4,0,0,0,0,NA,NA,NA,3.8,96,40,NA,105 - 150,NA,5,Clsk + finos,,7.5YR 4/4,7.5YR 6/4,,,friable,no ahesivo,ligeramente plástico,prismas,medios,débil,núcleos lig. cementados,fresco,86,claro,ondulado,"Fe comunes, finos, débiles",10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,7.5,150,105,,NA,B3
28,326,4635,30.5,NA,21.2,8.4,8.9,7.2,1229,NA,NA,4.3,7.9,16.7,0.12,NA,29.9,72.8,9.4,1.1,0,0,0,0.5,NA,NA,NA,NA,NA,29,NA,150 - 170,NA,NA,,,7.5YR 4/4,7.5YR 6/4,CaCO3 ++,,muy friable,no ahesivo,ligeramente plástico,masiva,,,"nódulos y concreciones pequeños, comunes",húmedo,87,,,"Fe ++ medios, débiles",10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,8,170,150,,NA,Cca
29,326,4631,28.6,10.6,14.3,5.6,6,5,4593,7.6,2,0.9,0.1,22.7,0.6,0.078,23.6,69.9,6.3,1.1,0,0,0,0,NA,NA,NA,5.4,74,39,NA,32 - 40,NA,8,,,10YR 3.5/2,10YR 5/2,,ligeramente duro,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,débil,poros 1a,seco,83,abrupto,irregular,"Fe comunes, finos, débiles",10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,5.5,40,32,3,NA,A2
30,326,4630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-18,NA,NA,,,10YR 3/2,10YR 5/2,,,friable,no ahesivo,no plástico,granular,,,,fresco,81,abrupto,suave,,10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,5.7,18,0,3,NA,Ap
31,326,4632,41.3,25.8,28.1,6.1,6.7,5.3,2112,13.5,7.8,3.1,1.4,42.1,0.52,0.078,21.3,53.2,4.2,0.5,0,0,0,0,NA,NA,NA,6.9,92,62,NA,40 - 80,NA,7,Clsk +++ gruesos,,7.5YR 4/2,,,muy duro,firme,adhesivo,muy plástico,prismas,gruesos,fuerte,raicillas solamente en las grietas,fresco,84,gradual,ondulado,,10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,6,80,40,2,NA,B21
32,326,4633,36.8,23.4,25.1,6.7,7.3,5.8,1883,11.7,6.2,3.5,2,28.6,0.27,0.046,25.8,62.9,7.4,1.1,0,0,0,0,NA,NA,NA,4.3,93,47,NA,80 - 105,NA,6,Clsk ++ gruesos (7.5YR 3/2),,7.5YR 4/2,,,duro,firme,adhesivo,plástico,prismas,medios,fuerte,grietas,fresco,85,gradual,ondulado,,10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,6.5,105,80,1,NA,B22
33,326,4630,30.7,14.8,19.9,5.4,5.6,5.3,3673,11.2,2.3,1.2,0.1,23,1.55,0.153,24,69.6,6.6,0.8,0,0,0,0,NA,NA,NA,9.3,74,46,NA,18 - 32,NA,10,,,10YR 2/2,,,,friable,no ahesivo,no plástico,granular,,,"krotovinas; poros 1e",fresco,82,claro,ondulado,,10/930 C,NA,NA,loess,false,1967-08-25,Campo arado,"Reacción al calcáreo aparece a 1,60. Parte superior del B21 lenguas del A2.",,9 km. al Oeste de Pearson,R 385,3360-26-3,29,,,,no uniforme,nula,,,grado 0,Las Gamas,LG,NA,NA,,NA,imperfectamente drenada,clase 0,agrícola,subnormal,lenta,lento,0 - 1%,clase 5,,media loma alta,5.7,32,18,3,NA,A1
34,329,3230,34.1,20.3,24,5.8,7.1,4.9,2397,12.9,4.9,2.1,0.4,30.8,0.36,0.048,29.1,62,6.7,0.5,0,0,0,0,NA,NA,NA,3.9,84,83,NA,64 - 100,NA,7,Clsk ++,,7.5YR 4/2,,Fe Mn +,,firme,adhesivo,plástico,prismas,medios,moderado,,,96,claro,suave,"Fe ++  medios, sobresalientes",10/688 C,NA,NA,,false,1967-03-10,Rastrojo de maíz,,,"5,6 km. al E.S.E. de General Gelly",R 386,3360-26-4,162,,,,uniforme,ligera,hídrica,,grado 0,Peyrano,Py,NA,NA,,NA,pobremente drenada,clase 0,agrícola,normal,lenta,medio,1 - 3%,clase 5,,loma,6,100,64,1,NA,B22
35,329,3229,36.4,22.4,27.8,5.8,6.6,4.9,2472,16.9,2.5,2.5,0.5,43.3,0.65,0.085,22.8,51.5,5.2,0.1,0,0,0,0,NA,NA,NA,5.5,80,79,NA,30 - 64,NA,8,Clsk +++,,7.5YR 4/2,,,,firme,ligeramente adhesivo,muy plástico,prismas,medios,moderado,,,95,claro,suave,"Fe ++  medios, sobresalientes",10/688 C,NA,NA,,false,1967-03-10,Rastrojo de maíz,,,"5,6 km. al E.S.E. de General Gelly",R 386,3360-26-4,162,,,,uniforme,ligera,hídrica,,grado 0,Peyrano,Py,NA,NA,,NA,pobremente drenada,clase 0,agrícola,normal,lenta,medio,1 - 3%,clase 5,,loma,5.5,64,30,1,NA,B21
36,329,3232,24.6,NA,18.7,7.5,8.1,7,1845,NA,NA,1.5,0.9,21.8,0.1,NA,26.6,67.3,9.6,1,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,155 - 180,NA,NA,,+++,7.5YR 5/4,,Ca +,,friable,adhesivo,ligeramente plástico,masiva,,,lentes cementados,,98,,,"Fe +  finos, débiles",10/688 C,NA,NA,,false,1967-03-10,Rastrojo de maíz,,,"5,6 km. al E.S.E. de General Gelly",R 386,3360-26-4,162,,,,uniforme,ligera,hídrica,,grado 0,Peyrano,Py,NA,NA,,NA,pobremente drenada,clase 0,agrícola,normal,lenta,medio,1 - 3%,clase 5,,loma,NA,180,155,,NA,Cca
