field_1,id,analitico_,analitic_1,analitic_2,analitic_3,analitic_4,analitic_5,analitic_6,analitic_7,analitic_8,analitic_9,analitic10,analitic11,analitic12,analitic13,analitic14,analitic15,analitic16,analitic17,analitic18,analitic19,analitic20,analitic21,analitic22,analitic23,analitic24,analitic25,analitic26,analitic27,analitic28,analitic29,analitic30,analitic31,analitic32,barnices,co3,color_hume,color_seco,concrecion,consistenc,consiste_1,consiste_2,consiste_3,estructura,estructu_1,estructu_2,formacione,humedad,id.1,limite_tip,limite_for,moteados,perfil_num,perfil_pro,perfil_cob,perfil_mat,perfil_mod,perfil_fec,perfil_veg,perfil_obs,perfil_cap,perfil_ubi,perfil_u_1,perfil_u_2,perfil_u_3,perfil_pai,perfil_p_1,perfil_p_2,perfil_hum,perfil_ero,perfil_e_1,perfil_ped,perfil_p_3,perfil_ser,perfil_s_1,perfil_s_2,perfil_gru,perfil_g_1,perfil_fas,perfil_f_1,perfil_sal,perfil_uso,perfil_rel,perfil_per,perfil_esc,perfil_pen,perfil_ane,perfil_dre,perfil_pos,ph,profundida,profundi_1,raices,textura,tipo
1279,634,3111,25.4,20.6,18.8,8.2,9.1,7.4,1018,9.6,2.9,1.5,6.6,18.6,1.72,0.07,16.8,49.6,29.8,2,0,0,0,0,NA,NA,2.56,NA,NA,NA,NA,18 - 28,NA,10,+,+,10YR 2/2,,,,friable,adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,,,1912,abrupto,suave,"+  finos, débiles",13/652 C,NA,NA,Limo loessoide,true,1967-03-15,Campo arado,"B2t estructura, tendencia a laminar.
Los nódulos parecen formar bochas algo cementados como contacto para lítico.",,"3,5 km. al Norte de Los Indios",R 360,3560-8-2,76,Pampa ondulada,Áreas cóncavas,,no uniforme,nula,,,,Los Indios,LI,NA,NA,Natracuol típico,NA,,clase 4,agrícola,cóncavo,lenta,muy lento,0 - 1%,clase 1,,bajo,8.6,28,18,,NA,A1
1280,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,14/367-C,NA,NA,,false,1966-10-20,,,,"""La Esther"" Benatos 8 km NO de Est. J.J. Almeyra",341,3560-16-4,8,,,,,,,,,Chacabuco,Cha,NA,NA,Argiudol Acuico,NA,,,,,,,,,,,NA,NA,NA,,NA,
1281,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,2/398-C,NA,NA,,false,1966-11-18,,,,17 km al SE de Suipacha,344,3560-16-4,23,,,,,,,,,Zapiola,,NA,NA,Natracuol típico,NA,,,,,,,,,,,NA,NA,NA,,NA,
1282,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,2/397-C,NA,NA,,false,1966-11-18,,,,17 km al SE de Suipacha,344,3560-16-4,23,,,,,,,,,Navarro,,NA,NA,,NA,,,,,,,,,,,NA,NA,NA,,NA,
1283,638,3119,21.9,16.1,17.7,6.2,7.1,5.2,4387,9.3,4.7,1.7,0.4,21.5,0.15,NA,13.7,48.4,27.9,2.2,0,0,0,0,NA,NA,NA,2.6,91,86,NA,95 - 115,NA,NA,Clsk +,,10YR 4/4,10YR 5/4,Fe Mn +++,ligeramente duro,,adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,nodulos lig. cementados,,1934,difuso,,"+ finos, débiles",13/653 C,NA,100,Loess,false,1967-03-15,"Pradera natural con malezas; abundantes cardos.",,,"10,5 km. al S.S.W. de Los Indios",R 357,3560-8-2,100,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem máximo,NA,moderadamente bien drenada,clase 0,ganadero,normal,moderada,medio,0 - 1%,clase 4,,loma,NA,127,72,,NA,B3
1284,638,3118,30.3,20.1,24.6,6.1,7,5.2,3037,11.7,5.9,2.2,0.3,37.5,0.45,0.07,15.3,39.9,21.5,1.1,0,0,0,0,NA,NA,NA,4.5,82,81,NA,45 - 60,NA,6,Clsk +++,,10YR 3/4,10YR 3/3,,duro,,muy adhesivo,plástico,prismas,gruesos,fuerte,,,1933,difuso,ondulado,"+ gruesos, debiles",13/653 C,NA,100,Loess,false,1967-03-15,"Pradera natural con malezas; abundantes cardos.",,,"10,5 km. al S.S.W. de Los Indios",R 357,3560-8-2,100,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem máximo,NA,moderadamente bien drenada,clase 0,ganadero,normal,moderada,medio,0 - 1%,clase 4,,loma,NA,72,33,1,NA,B2
1285,638,3116,26.2,17.1,21.6,6.1,6.7,5.6,5061,13.5,1.2,2.2,0.2,24.6,2.15,0.21,18.7,45.8,25.4,1.5,0,0,0,0,NA,NA,NA,5.8,79,75,NA,0 - 12,NA,10,,,10YR 2/2,10YR 4/2,,duro,,adhesivo,ligeramente plástico,prismas,gruesos,fuerte,"grietas; krotovinas",,1931,claro,suave,,13/653 C,NA,100,Loess,false,1967-03-15,"Pradera natural con malezas; abundantes cardos.",,,"10,5 km. al S.S.W. de Los Indios",R 357,3560-8-2,100,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem máximo,NA,moderadamente bien drenada,clase 0,ganadero,normal,moderada,medio,0 - 1%,clase 4,,loma,NA,20,0,3,NA,A1
1286,638,3117,22.8,13.7,16.4,6,7,5.5,4724,9.9,1.8,1.8,0.2,25.2,0.84,0.088,16.5,47.3,25.8,1.7,0,0,0,0,NA,NA,NA,3.9,84,78,NA,28 - 38,NA,9,,,10YR 3/2,10YR 4/2,,,,adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,grietas bastante lixiviadas,,1932,claro,suave,,13/653 C,NA,100,Loess,false,1967-03-15,"Pradera natural con malezas; abundantes cardos.",,,"10,5 km. al S.S.W. de Los Indios",R 357,3560-8-2,100,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem máximo,NA,moderadamente bien drenada,clase 0,ganadero,normal,moderada,medio,0 - 1%,clase 4,,loma,NA,33,20,2,NA,A3
1287,638,3120,15.2,13.3,13.5,6.7,7.7,5.8,6411,7.2,3.8,1.9,0.4,12.1,0.05,NA,13,47.9,36.4,2.6,0,0,0,0,NA,NA,NA,1,98,93,NA,170 - 190,NA,NA,,,10YR 4/4,10YR 6/4,Fe Mn +++,,,ligeramente adhesivo,no plástico,bloques subangulares,medios,,"nodulos; grietas algo cementadas",,1935,,,"+++ gruesos, precisos",13/653 C,NA,100,Loess,false,1967-03-15,"Pradera natural con malezas; abundantes cardos.",,,"10,5 km. al S.S.W. de Los Indios",R 357,3560-8-2,100,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem máximo,NA,moderadamente bien drenada,clase 0,ganadero,normal,moderada,medio,0 - 1%,clase 4,,loma,NA,NA,127,,NA,C
1288,640,3126,28.3,15.3,17.4,5.9,6.3,5.1,5159,13,1.1,1,0.2,28.7,0.84,0.085,23,52.4,18,0.9,0,0,0,0,NA,NA,NA,4.5,88,77,NA,26 - 35,NA,10,Clsk +,,10YR 3/2,,,duro,friable,adhesivo,plástico,bloques angulares,medios,moderado,,,1942,claro,suave,,13/655 C,NA,100,Loess,false,1967-03-16,Sembradío de maíz,,,"5,5 km. al S.E. de Inés Indart",R 357,3560-8-2,91,Pampa ondulada,,,uniforme,ligera,hídrica,,,Rojas,Ro,NA,NA,,NA,,,agrícola,normal,moderada,lento,0 - 1%,clase 5,,loma,6.5,35,20,1,NA,B1
