"","id.p","is.mottles","is.concr","thick.A","a_S.A","a_sat_CEC.A","esp.A","esp.B","a_OC.A","Bt","is.caco3","d.caco3","is.E","is.hydro","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","X","Y"
"15",355,0,1,25,13.4,77,2.98507462686567,3.00175835217282,1.45,1.93797653958944,0,NA,0,0,71.6658325195312,50043.578125,930.509948730469,9.65050411224365,2.66301393508911,0.468084961175919,10.2973508834839,3.15614318847656,0,297.196417361804,7.70631964643395,3585,1737.48943549638,5435553.2779968,6287591.17801589
"17",358,0,1,20,19,82.1,5.10526315789474,3.92790086368757,1.503,1.77165478684762,1,104,0,0,56.6983375549316,33986.65625,1023.99176025391,3.5685830116272,2.73912143707275,0.364569991827011,10.4351568222046,5.36080551147461,0,297.536803080539,8.00105102205266,3263.10416666667,1650.47775968877,5453955.08623637,6291511.16345247
"18",359,1,1,23,17.8,76,0.561797752808989,0.29585798816568,1.84,1.63,1,97,0,1,40.326530456543,14411.4326171875,123.696655273438,-2.34906029701233,3.73510050773621,0.173053070902824,12.7259359359741,1.7153205871582,0,297.631068842652,7.88629679757035,3291.09722222222,1500.42918018395,5489604.34064186,6286514.50443699
"19",360,1,1,18,NA,NA,NA,NA,0.78,2.85675756667666,1,0,0,1,34.4585647583008,23083.306640625,330.009307861328,-3.48775792121887,3.79819226264954,0.199258029460907,12.8592166900635,1.27141571044922,0,297.540791710101,8.0380910322736,2985.88888888889,549.151043599909,5478728.85392764,6283195.00514949
"21",363,1,1,42,NA,NA,NA,NA,0.64,1.50162513542795,1,42,0,1,22.0521545410156,10491.0771484375,0,-19.5558242797852,2.9552435874939,0.281233221292496,11.7478532791138,0.971529006958008,1.48275864124298,297.798176484949,7.99937637578885,3629.1875,924.698075607097,5481126.4291195,6298943.2109593
"22",364,1,0,14,19,76,2.63157894736842,6.82659797134117,2.81,0.981834975369458,1,70,0,0,25.9030723571777,11540.3857421875,301.504760742188,-17.142240524292,3.12232160568237,0.233441814780235,14.1867122650146,0.1829833984375,0,297.696774256194,7.90143249682195,3581.39583333333,840.831716271105,5468624.00562296,6308567.82194649
"23",365,0,1,26,17,79,0.588235294117647,0.851393188854489,1.85,1.62052271403611,1,140,0,0,54.7131767272949,26910.2890625,442.957183837891,5.42275619506836,3.9017927646637,0.13288477063179,10.4551181793213,2.49812316894531,0,297.297706110337,7.78978261834108,3603.04861111111,1815.33807878251,5480953.33608616,6276953.32715963
"24",366,1,1,8,NA,NA,NA,NA,0.6,2.52747252747253,1,6,1,1,27.0118198394775,11731.251953125,429.546722412109,-14.5131521224976,1.68878984451294,0.392675220966339,10.8901557922363,1.32968521118164,0,297.696774256194,7.90143249682195,3581.39583333333,840.831716271105,5468522.4942091,6308441.35519683
"25",367,1,1,20,9.5,85,13.6842105263158,NA,0.66,2.90122914837577,1,30,1,1,36.9604949951172,23039.791015625,530.769165039062,-11.5131988525391,2.49788355827332,0.434165775775909,11.362380027771,0.810775756835938,0,297.540791710101,8.0380910322736,3747.53472222222,968.701336071245,5479157.91982191,6282859.21040377
"26",368,0,1,24,14.9,79,1.00671140939597,0.423748120472046,1.505,1.89247311827957,0,NA,0,0,45.5511627197266,16684.625,1138.45202636719,-0.877986907958984,2.86270928382874,0.204362705349922,11.2800016403198,12.0359802246094,0,297.607654247116,7.99319335550672,3656.09722222222,1778.98134724296,5490500.58385317,6282197.9406154
"27",369,0,1,24,18.7083333333333,93,6.79287305122494,4.90957897711218,1.55625,1.75964688751365,0,NA,0,0,57.3995399475098,39649.0546875,660.700073242188,-2.15075182914734,1.93969631195068,0.388246297836304,10.7214260101318,6.39165496826172,0,297.38812309556,7.76257798633948,3789.64583333333,1950.5330971812,5460915.78452777,6277861.1927914
"28",370,0,1,30,19.3133333333333,87.4666666666667,6.2823610631688,6.03226800945432,1.61666666666667,1.5056471646654,0,NA,0,0,53.5570793151855,23854.748046875,488.378387451172,-1.7761002779007,4.67262029647827,0.0577823184430599,11.6513404846191,0.844203948974609,0,297.649323856129,8.01186374207307,3478.49305555556,1652.12186091344,5467866.10212503,6292897.17321687
"29",371,0,1,32,22.325,87,1.79171332586786,2.48402091807089,1.9625,1.50773953729218,1,110,0,0,54.8027229309082,27573.275390625,371.089965820312,-5.06960153579712,4.6166672706604,0.0974638536572456,13.9441051483154,0.551029205322266,0,297.479853520995,8.01535260520662,3529.00694444444,1888.56290313886,5470967.44516528,6284903.52963102
"30",372,1,1,28,17.5357142857143,89.5357142857143,1.71079429735234,1.63799096280848,1.52821428571429,1.78456042077871,1,38,0,1,50.6961441040039,31896.205078125,536.671447753906,3.75615334510803,3.63384032249451,0.189210802316666,11.1178998947144,3.33863830566406,0,297.59576438455,8.07228185057624,3250.63194444444,1422.01714184453,5473256.21683485,6276281.93763884
