"","idp","clay.A","clay.B","clay.C","cec.A","cec.B","cec.C","oc.A","oc.B","oc.C","dem","twi","vdchn","evim","evisd","lstm","lstsd","ndwi.a","ndwi.b","X","Y"
"127",16995,40.19333353,40.5,37.9999990625,30.02333316,31.2000008,28.8125,0.9529999968,0.370000005,0.0712500005375,414.092071533203,7.88618516921997,7.35711669921875,26323756.4766839,17997806.7966237,294.317548161121,11.0359688616261,0.0137849339351243,-0.114782230973658,504454.566731199,314160.294102259
"128",17003,35.0499989388889,33.963291013924,33.5999985,32.8777779388889,23.9544301974684,21.1000004,3.83722222388889,0.30405062604557,0.0299999993,447.493560791016,6.93583011627197,19.327880859375,34825647.6683938,19863208.9642801,294.484833625219,10.7815343323662,0.00972697148098438,-0.0767769785044684,493477.29016473,304016.31589743
"129",17008,30.8892862,30.6580640725806,31,26.7035712428571,20.230645083871,18.5,2.52642861964286,0.441935483516129,0.0700000003,428.718811035156,6.91726636886597,11.3226013183594,27999274.611399,15034389.4271258,294.231713286713,10.7942891044138,-0.0247635070779124,-0.154544521762274,494451.900355558,302670.268686512
"130",17034,14.6000004,14.8506172790123,14.8499999,14.6999998,15.9679012049383,15.4000001,1.02999997,0.516419756469136,0.305000007,1012.30682373047,7.86671113967896,50.9556884765625,16841010.3626943,7124749.7847992,300.576811091854,12.8150165639937,-0.134334053723483,-0.1524587427941,82361.8564518861,193253.899646141
"131",17035,12.6000004,11.6000004,9.89685026354331,15.8000002,14.6000004,13.2055118456693,1.17999995,0.99000001,0.210866138330709,1001.93664550781,6.35386180877686,44.5070190429688,16719715.0259067,7001191.85932269,300.267404844291,12.8985084185474,-0.136460513074492,-0.15210894653818,82306.128300364,193626.711917426
"132",17098,18.5,21.0031741714286,17.4071426257143,15.8000002,18.7396831809524,14.5428574628571,1.20000005,0.591111102714286,0.0585714266785714,1071.810546875,9.9584321975708,0.6041259765625,25299274.611399,16057729.8129335,296.734337568058,10.816432341851,0.0621001001936722,-0.126499518674272,62505.3237456421,254462.498614922
"133",17107,20.7184211368421,20.2750006625,13.1000004,19.1789472947368,19.4781256625,12.1000004,1.20368420421053,0.45218750484375,0.209999993,1061.576171875,10.1866054534912,0.1063232421875,29366062.1761658,22995009.4650431,297.196457564576,10.7093943245867,0.085808495063927,-0.129539859649884,65373.8689146054,252730.646228353
"134",17109,23.1555556222222,25.2469699878788,13.0465189613924,19.5666662666667,22.2303024969697,17.9370252955696,1.16222218827778,0.471363624969697,0.111598101777532,1033.52075195312,7.55065727233887,0.71728515625,26783678.7564767,20928178.4053621,299.348,11.6329989003109,-0.0151182901891075,-0.0966485788179019,103720.933585125,149657.287701629
"135",17242,20.8000002,33.942982122807,8.89999962,15.7000003,21.4254383521053,8.10000038,1.000000031,0.382456140885965,0.0900000036,452.726959228516,6.8633770942688,1.10049438476562,23691658.0310881,8661929.53202798,297.963630017452,10.6800486865365,-0.0706771836931643,-0.0698515176200958,420614.778754678,-36880.6994655787
"136",17244,4.726666768,17.9294115019608,0,3.83333341133333,11.7470589345098,2.27380955952381,0.3820000054,0.270980398529412,0.0499999989,484.722503662109,8.4102144241333,0.244659423828125,28972590.6735751,14118076.5962461,297.565996533795,10.1355916182222,-0.0831979138231636,-0.0701726467587089,395811.373998267,-18564.3544532853
"137",17611,22.3333326666667,38.6022990448276,30.3414362828729,20.6999994666667,26.5015324965517,23.3187847116022,2.52000006333333,0.271417627103448,0.126795579149171,370.637298583984,7.97124767303467,3.08877563476562,26988601.0362694,22289897.3822345,294.405483304042,11.1273048642703,0.0577943716177217,-0.170100851143738,519924.765366923,324574.815436708
"138",19164,6.19999981,15.9900664816556,4.06986303972603,5.5,9.90397355066225,3.26986301438356,0.550000012,0.294503307847682,0.0254794515178082,426.762481689453,8.52973461151123,0.338592529296875,29341269.4300518,11691918.0742294,297.358153310105,10.3598542547132,-0.084525705618918,-0.0316368745310873,445412.657871043,-37579.4945695109
"139",19166,16.2971430742857,19.0870589011765,2.93333323333333,11.95142852,11.5176467764706,2.63333336666667,1.00028571431429,0.337058822611765,0.0266666661,440.218963623047,7.55527544021606,1.65866088867188,29186010.3626943,10685584.3486737,297.266770833333,10.453132669101,-0.0946671457601316,-0.0402583279117781,434428.973983341,-37326.2642156176
"140",19167,9.10526310789474,26.5941175419118,5.56799988653333,8.43684186526316,19.9926470994118,4.369333324,0.732631589052632,0.239117646529412,0.0299999993,437.744995117188,8.89403820037842,0.006927490234375,29611243.5233161,16869812.3226159,297.316284722222,10.7039538285631,-0.00372245442680009,-0.0945062604836888,434481.259807912,-38127.8286625765
"141",19168,10.8807693184615,35.0897058882353,15.9406975537209,8.50192313538462,22.3720587529412,10.806976722093,0.812692307269231,0.678676458647059,0.150232553647674,436.163940429688,10.0629749298096,1.13876342773438,29806113.9896373,14761568.6502331,297.307130434783,9.76283009722833,0.013791523470479,-0.115805465777454,434796.596681763,-43261.0405796072
"142",19263,24.6739126086957,29.9983614590164,30.4821429285714,19.9956518086957,22.7131151147541,19.7446427285714,2.01869569086956,0.762786882196721,0.0655357124553572,445.872222900391,7.7685489654541,9.88204956054688,29435077.7202073,14677237.9693704,295.094834205934,10.7713052423818,-0.0127960963056283,-0.119251077754354,498858.408731559,245357.467855949
"143",19707,28.0166672333333,23.5859920151751,18.8999996,21.1000000666667,23.486381463035,23.2000008,1.15583328166667,0.233385213237354,0.189999998,692.250854492188,7.96806144714355,6.15093994140625,23694093.2642487,11269290.9158972,299.107638888889,11.0729096124291,-0.089590284850883,-0.111496113361994,241636.379782101,122498.623826786
"144",21109,27.8815390153846,38.7979592326531,32.9000015,21.8984617169231,29.3673467755102,24.2000008,1.76107690230769,0.583673453653061,0.159999996,372.646667480469,8.40323162078857,1.469970703125,26864870.4663212,22137772.1074023,295.297415929204,10.6150916776504,0.0563038753858765,-0.16124107751586,526047.028492974,281151.716881241
"145",21117,29.1000004,39.5,40.4000015,23,31.6000004,28.7999992,2.45000005,0.689999998,0.610000014,424.965362548828,6.68253707885742,14.4534912109375,28456398.9637306,13282816.6014963,294.153982608696,10.4075077748384,-0.0700337249995219,-0.165450544137209,488914.869594168,278549.140876703
