,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
28,326,326_A2,E,32,40,8,10.6,14.3,6,5,4593,0.6,22.7,23.6,6.3,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
29,329,329_A1p,A,0,23,23,13.5,16,6.3,5.2,4797,1.56,21.5,30,9.4,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
30,329,329_B1,AB.BA,23,30,7,15.8,19.6,6.4,5.1,3873,1.37,28.8,30.1,8.4,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
31,329,329_B22,B,64,100,36,20.3,24,7.1,4.9,2397,0.36,30.8,29.1,6.7,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
32,329,329_B21,B,30,64,34,22.4,27.8,6.6,4.9,2472,0.65,43.3,22.8,5.2,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
33,329,329_B3,BC,100,155,55,19.9,21.6,7.4,5.4,3081,0.16,21.6,30,8.5,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
34,329,329_Cca,C,155,180,25,NA,18.7,8.1,7,1845,0.1,21.8,26.6,9.6,2,3,clase 5,NA,2.3,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
42,335,335_A1p,A,0,26,26,16.2,19,6.1,5.3,2067,1.61,23.3,31,11,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
43,335,335_B1,AB.BA,26,37,11,17.1,20.1,6.6,5.1,3690,1.45,32.1,26.7,7.1,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
44,335,335_B21,B,37,86,49,24.8,28.8,7,5.2,2445,0.61,42.9,24.1,4.9,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
45,335,335_B22,B,86,116,30,24.4,27.2,7.4,5.5,1881,0.34,30.7,28.6,7,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
46,335,335_B3,BC,116,153,37,21.4,21.9,7.7,6.1,2028,0.15,21.7,27,9.8,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
47,335,335_Cca,C,153,170,17,NA,19.5,8.2,7,1659,0.07,24.1,30.2,8.4,2,3,clase 5,NA,2.3,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
56,337,337_A1,A,0,15,15,12.3,16.3,6.5,5.1,2865,1.62,16.4,38.9,8.6,2,3,clase 4,NA,2.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
57,337,337_B21,B,15,60,45,23.3,23.7,8.8,6.6,471,0.89,46,19.4,6.3,2,3,clase 4,NA,2.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
58,337,337_B22,B,60,106,46,NA,19.4,9.6,7.6,508,0.26,39.4,25.9,9,2,3,clase 4,NA,2.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
59,337,337_B3ca,BC,106,180,74,NA,20.3,9.6,7.7,544,0.16,29.9,28.5,10,2,3,clase 4,NA,2.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
60,337,337_Cca,C,180,200,20,NA,21.7,9.4,7.5,775,0.07,25.3,27.7,10.8,2,3,clase 4,NA,2.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
61,342,342_Ap,A,0,20,20,17.7,23.9,6.1,5.7,5596,1.94,26.9,27.3,5.6,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
62,342,342_A1,A,20,29,9,17.6,23.4,5.8,5.4,4103,1.52,27.6,27.3,5,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
63,342,342_B1,AB.BA,29,39,10,15.8,20.5,6.1,5.4,4301,0.84,30.6,24.4,6.2,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
64,342,342_B22,B,76,110,34,24.9,29.6,6.4,5.4,2282,0.36,33,25.3,4.1,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
65,342,342_B21,B,39,76,37,23.6,29,6.3,5.3,2238,0.53,42.5,20.3,5.1,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
66,342,342_B3,BC,110,170,60,20.4,24.4,6.4,5.4,2677,0.24,23.2,27.8,7.2,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
