,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
494,471,471_B21,B,31,50,19,17.1,19.1,7,5.3,4334,0.86,31.6,15.2,27.7,4,3,clase 5,clase 4,4.3,85.9719619751,124541.671875,108.1695861816,-6.8415732384,4.9141178131,0.0376739949,18.6901187897,0.376914978,0,296.3933036602,7.1800357431,3245.4652777778,2218.5529080414,0.0340599147,-0.0383843688,0.089208129,5407370.07800376,6211021.9780166
495,471,471_B22,B,50,86,36,15,16.1,7,5.5,5319,0.4,26.3,14.6,33.6,4,3,clase 5,clase 4,4.3,85.9719619751,124541.671875,108.1695861816,-6.8415732384,4.9141178131,0.0376739949,18.6901187897,0.376914978,0,296.3933036602,7.1800357431,3245.4652777778,2218.5529080414,0.0340599147,-0.0383843688,0.089208129,5407370.07800376,6211021.9780166
496,471,471_B3,BC,86,127,41,15,14.7,7.2,5.5,6107,0.21,23.2,14.5,25.6,4,3,clase 5,clase 4,4.3,85.9719619751,124541.671875,108.1695861816,-6.8415732384,4.9141178131,0.0376739949,18.6901187897,0.376914978,0,296.3933036602,7.1800357431,3245.4652777778,2218.5529080414,0.0340599147,-0.0383843688,0.089208129,5407370.07800376,6211021.9780166
497,471,471_C,C,127,147,20,15.4,13.4,7.4,6,2679,0.09,19,12.4,37.7,4,3,clase 5,clase 4,4.3,85.9719619751,124541.671875,108.1695861816,-6.8415732384,4.9141178131,0.0376739949,18.6901187897,0.376914978,0,296.3933036602,7.1800357431,3245.4652777778,2218.5529080414,0.0340599147,-0.0383843688,0.089208129,5407370.07800376,6211021.9780166
498,472,472_Ap,A,0,21,21,15.8,21.2,6,5.1,2167,2.26,24,19.5,29.5,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
499,472,472_A12,A,21,31,10,15.3,19.2,6.3,5.1,4925,1.61,25.2,15.4,31.2,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
500,472,472_B1,AB.BA,31,39,8,13.5,17.6,6.6,5,5516,0.92,26.6,16.4,30.4,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
501,472,472_B2,B,39,74,35,15,18.3,6.7,5.2,4925,0.65,31,12.1,31.1,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
502,472,472_B3,BC,74,112,38,13,15.4,7,5.3,6107,0.12,19.9,13.3,37.2,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
503,472,472_C,C,112,132,20,12.4,13.7,7.1,5.5,5516,0.06,18.5,13.5,40,4,4,clase 5,NA,4.4,100.0500030518,128597.0390625,948.7100219727,2.1290867329,3.5378367901,0.0651300475,13.0118818283,7.7060317993,0,296.696222174,7.3119566699,3399.0416666667,2343.7674527089,0.049123301,-0.0683373449,0.0837624068,5395747.57800347,6216718.878024
521,476,476_Ap,A,0,13,13,16,18.1,6,5.2,3838,1.77,22.9,20.4,26.8,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
522,476,476_A12,A,13,26,13,16.6,18.4,6,5.3,3798,1.77,23.7,17.9,28.6,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
523,476,476_B1,AB.BA,26,36,10,15.3,17,6.7,5.4,5656,7,25.5,14.6,25,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
524,476,476_B22,B,62,78,16,17.7,18.7,6.7,5.4,4448,0.33,27.8,13.9,29.2,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
525,476,476_B21,B,36,62,26,17.6,20.5,6.9,5.3,3798,0.44,35.5,13.4,24.4,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
526,476,476_B3,BC,78,115,37,14.1,14,7.1,5.4,5656,0.23,16.9,13,37.7,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
527,476,476_C1,C,115,235,120,13.6,12.5,7.2,5.5,6666,0.13,14.4,13.4,37.3,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
528,476,476_C2,C,235,275,40,NA,8.2,8.4,7.3,4646,NA,12.3,12.9,31.1,3,3,clase 5,clase 4,3.3,81.0484924316,115738.9921875,1632.2224121094,-3.4164979458,5.8635492325,0.0823229849,11.4706439972,4.3450317383,0,296.7615291371,7.1830439066,3734.1180555556,2241.9869231527,0.0648894445,-0.0728325462,0.0958337997,5408136.97800224,6222910.278022
529,477,477_A11,A,0,23,23,17.3,23.2,5.4,4.5,3310,2.15,24.6,22,18,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
530,477,477_A12,A,23,33,10,14.1,17.7,5.6,4.5,5062,1.03,23.6,19,17.4,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
531,477,477_B1,AB.BA,33,43,10,16.9,18.2,5.9,4.5,3701,0.65,27,21.6,16.8,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
532,477,477_B22,B,67,100,33,25.9,27.7,6.8,4.9,2026,0.38,29,20.3,13.8,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
533,477,477_B21,B,43,67,24,20.1,22,6.6,4.8,2694,0.52,35,19,16.7,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
534,477,477_B3,BC,100,118,18,21.6,23.4,7,5.1,1703,0.26,23.5,21.5,20.6,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
535,477,477_C,C,118,150,32,19.6,19.3,8.5,6,747,0.11,6.1,17.3,31.1,2,1,clase 4,NA,2.1,79.3583145142,94360.2109375,94.8710021973,-5.614051342,6.6184911728,0.1143137738,12.764550209,-0.5513534546,0,296.6083649985,7.6504985673,3267.0625,1642.1431596866,0.009314391,-0.0566769441,0.066010149,5425806.77800331,6235274.9780177
536,478,478_A12,A,12,26,14,17.6,20.9,5.9,4.9,4254,1.62,24.2,22.7,14.5,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
537,478,478_Ap,A,0,12,12,20.1,24.7,5.7,5.1,2146,2.61,24.4,23.3,15.9,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
538,478,478_B1,AB.BA,26,37,11,17.5,19.8,6.1,4.8,4254,0.8,30.9,21,15.5,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
539,478,478_B21,B,37,65,28,22.7,25,6.4,4.7,2876,0.6,33.8,20.7,11.3,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
540,478,478_B22,B,65,93,28,22,23.8,6.5,4.6,2755,0.39,27.4,20,21.4,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
541,478,478_B3,BC,93,118,25,20.1,21.8,6.7,4.7,2980,0.27,17.4,23.8,20.2,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
542,478,478_C,C,118,150,32,18.8,20.2,7,5.2,4147,0.21,11.9,22.8,18.9,3,3,clase 5,NA,3.3,82.9047622681,98015.2265625,30.0008449554,-11.9357309341,6.7654500008,0.0352381393,17.1256732941,0.0434417725,0.1724137962,296.633078349,7.4894548771,3457.4444444444,2052.2336382544,0.048721551,-0.1476367531,0.0677859396,5418468.57800125,6237543.37802293
543,479,479_Ap,A,0,13,13,20.4,22.8,6,5.3,2489,2.32,19.3,22.4,21.1,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
544,479,479_A12,A,13,32,19,16.9,19.2,6.2,5.1,4902,1.55,18.9,23.3,24.4,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
545,479,479_B1,AB.BA,32,46,14,15.6,17.6,6.3,5,4147,0.64,24,14.6,24.2,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
546,479,479_B2,B,46,73,27,22.2,23.2,6.4,4.8,3432,0.52,27.8,14.5,19.9,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
547,479,479_B3,BC,73,100,27,20.3,20.5,6.6,4.7,3770,0.27,24.4,16,22.4,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
548,479,479_Ccam (Rca),C,180,200,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
549,479,479_Cca,C,100,180,80,NA,17.5,9.3,6.3,1815,0.21,NA,NA,NA,4,3,clase 5,NA,4.3,76.0945053101,105959.0703125,189.7420043945,-6.8532333374,2.0895226002,0.5373820662,10.1475858688,3.3208694458,0,296.6021143707,7.3313071691,3547.125,1528.9711192715,0.0297951223,-0.0611735225,0.0656665333,5415493.17800109,6229330.57801953
550,480,480_A12,A,14,29,15,19.7,22.7,5.7,4.8,5279,1.66,24.2,21.1,19.2,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
551,480,480_Ap,A,0,14,14,21.6,24,5.5,4.8,3055,2.12,22.5,19.4,18.5,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
552,480,480_A3 / B1,AB.BA,29,44,15,18.9,20.2,6.4,4.8,4777,0.83,27.7,16.4,21.4,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
553,480,480_B2,B,44,70,26,20.4,21.8,6.7,4.8,3401,0.49,28.4,18.3,16.3,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
554,480,480_B3,BC,70,100,30,20.4,20.8,6.8,5,3630,0.38,20.8,19.8,20.1,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
555,480,480_C,C,100,150,50,19.5,19.6,7.1,5.3,4777,0.19,14,19.7,22.7,4,3,clase 5,NA,4.3,80.154876709,105005.0703125,510.8959960938,11.4217824936,1.52495718,0.4099040926,9.8193845749,-1.4643249512,0,296.6996766927,7.2356932833,3545.5694444444,2103.4882372798,0.0365213836,-0.0866858844,0.0940128938,5415033.17800295,6231271.07801857
556,481,481_A12,A,14,29,15,17,20.4,5.7,4.6,4204,1.37,22,25.6,13,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
557,481,481_A11,A,0,14,14,18.8,25.6,4.8,4.2,1796,2.88,24.1,29.1,10.9,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
558,481,481_B21,B,40,68,28,21.6,22.7,7.1,5.3,2063,0.39,31.4,18,18.9,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
559,481,481_B22,B,68,95,27,31.5,30.1,8.1,6.2,1108,0.28,29.3,19.1,19.9,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
560,481,481_B31,BC,95,125,30,28.3,27.6,8.1,6.3,764,0.19,21.1,24.2,22.9,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
561,481,481_C,C,125,145,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
562,481,481_A2,E,29,40,11,13.6,15.1,6.6,5,5541,0.45,16.1,25.9,18.6,1,1,clase 3,NA,1.1,76.2968063354,94370.671875,0,-13.3081712723,6.5529088974,0.0815300196,18.5357208252,-0.0595397949,2,296.5993526683,7.5141953503,3835.8125,839.2943920258,-0.0162283588,-0.0346889668,0.0579023277,5428300.67800296,6232747.47802474
563,482,482_A11,A,0,20,20,17.9,20.9,6.5,5.5,4646,1.91,26.8,27.7,13.9,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
564,482,482_A12,A,20,29,9,16.4,18.4,6.6,5.4,4646,1.47,27.4,24.8,14.5,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
565,482,482_B1,AB.BA,29,42,13,16.2,18.7,6.8,5.3,3636,0.78,32.5,22.7,14.3,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
566,482,482_B22,B,75,95,20,22.2,23.6,7,5.3,3394,0.28,29.5,23.4,16.8,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
567,482,482_B21,B,42,75,33,22.8,25,7,5.3,2747,0.54,27.9,23.3,12,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
568,482,482_B3,BC,95,130,35,17.5,18.3,7.7,5.4,5050,0.12,22.5,20.4,24.2,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
569,482,482_C1,C,130,200,70,20,18.4,8.3,6.5,2121,0.08,20,26.3,14.4,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
570,482,482_C2ca,C,200,240,40,NA,17.8,9,7.3,1555,NA,19.5,34,11.5,2,2,clase 5,clase 3,2.2,79.5510177612,95785.0703125,241.8745422363,-2.8285236359,6.6181716919,0.0356028192,17.2093086243,-0.0825195313,0,296.4823268166,7.4809933453,4396.6944444444,1115.2985945181,0.0054611931,-0.0319560795,0.0563042186,5422767.37799537,6236448.37802437
571,483,483_A12,A,17,30,13,19.8,21.4,6.1,5.3,3908,1.78,28.6,27.1,16.7,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
572,483,483_Ap,A,0,17,17,21,22.9,6.1,5.1,3398,2.12,24,29.9,15.2,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
573,483,483_B1,AB.BA,30,40,10,21.1,24.2,6.4,5.2,3568,0.74,33,21.5,16.9,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
574,483,483_B21,B,40,67,27,27,29.5,6.8,5.1,2004,0.73,41.5,20.3,12,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
575,483,483_B22,B,67,97,30,26.6,26.4,6.2,5.1,2123,0.57,41.3,20,12.7,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
576,483,483_B31,BC,97,120,23,25.5,25.7,7,5.2,3143,0.31,30.8,25.1,15.7,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
577,483,483_B32,BC,120,135,15,22.1,22.2,6.9,5.1,4076,0.22,25.2,23.8,18.1,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
578,483,483_C,C,135,155,20,20.1,20,7.1,5.4,4115,0.11,23.8,23.8,19,4,3,clase 5,NA,4.3,73.3028411865,92357.7265625,120.0033798218,1.7872354984,4.6836547852,0.1105040088,11.9850254059,5.1890411377,0,296.779264652,7.510702337,3206.9861111111,1962.733903877,0.0442410505,-0.1381679372,0.1103367673,5444333.97800208,6222166.27802492
579,485,485_A1,A,0,22,22,23.8,27.4,6,5.2,3546,2.45,27.9,30.7,14.1,4,3,clase 5,NA,4.3,77.5733947754,83063.4765625,123.6966552734,-1.1001505852,4.414206028,0.0338865668,11.445763588,5.9891967773,0,296.5914371524,7.4571611531,3444.2013888889,1798.8892088543,0.0574751986,-0.1155006716,0.0650582861,5446041.37799928,6232672.47802062
580,485,485_B1,AB.BA,22,35,13,20.5,22.8,6.4,5.1,4354,0.83,33.8,26.3,9,4,3,clase 5,NA,4.3,77.5733947754,83063.4765625,123.6966552734,-1.1001505852,4.414206028,0.0338865668,11.445763588,5.9891967773,0,296.5914371524,7.4571611531,3444.2013888889,1798.8892088543,0.0574751986,-0.1155006716,0.0650582861,5446041.37799928,6232672.47802062
581,485,485_B21,B,35,70,35,28,30,6.8,5.1,2644,0.35,37.1,24.1,11.5,4,3,clase 5,NA,4.3,77.5733947754,83063.4765625,123.6966552734,-1.1001505852,4.414206028,0.0338865668,11.445763588,5.9891967773,0,296.5914371524,7.4571611531,3444.2013888889,1798.8892088543,0.0574751986,-0.1155006716,0.0650582861,5446041.37799928,6232672.47802062
582,485,485_B22,B,70,95,25,26.2,28.3,7,5.1,3546,0.29,30.9,24.8,15.4,4,3,clase 5,NA,4.3,77.5733947754,83063.4765625,123.6966552734,-1.1001505852,4.414206028,0.0338865668,11.445763588,5.9891967773,0,296.5914371524,7.4571611531,3444.2013888889,1798.8892088543,0.0574751986,-0.1155006716,0.0650582861,5446041.37799928,6232672.47802062
