"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"1629","729","C",225,245,20,27.4,27.4,7,5.4,1449,0.1,47.3,29,4
"1630","730","A",0,19,19,20.8,23.9,6.1,5.3,2903,2.34,23.4,33,11.4
"1631","730","A",19,36,17,19.7,23.4,6.1,5.1,4062,1.58,24.1,32.4,9.6
"1633","730","B",58,87,29,26.9,29.8,6.3,5,1858,0.46,39.6,20.1,9.4
"1634","730","B",87,120,33,26.2,28,6.4,5,1742,0.3,28.4,24.4,9.1
"1636","730","C",155,200,45,23.5,24,6.8,5.6,2565,0.13,13.3,25,10.5
"1638","731","A",0,14,14,17.1,20,5.5,5,2884,1.94,25.1,27.1,8
"1637","731","A",14,25,11,17.2,19.9,5.7,5,4437,1.55,26.6,29.7,8.1
"1639","731","B",25,53,28,27,28.3,6.3,5.1,2292,0.73,36.5,26,6.9
"1640","731","B",53,84,31,27.3,28.6,6.6,5.3,2218,0.39,30.4,29,7
"2032","731","BC",84,130,46,24.7,25.9,6.7,5.4,2514,0.25,25.9,26.4,9.5
"1643","732","A",0,20,20,17.1,23,6.4,5.3,3465,2.3,22.1,30.9,13.8
"1644","732","A",20,30,10,17.1,22,6.5,5.3,4852,1.79,25.9,29.5,12
"1645","732","B",42,86,44,24.5,29.1,7.5,5.3,2529,0.61,42.1,20.1,8.2
"1648","732","C",156,226,70,NA,18.5,8.5,6.6,1766,0.11,20.6,36.1,11.2
"1649","732","C",226,350,124,NA,17.4,8.7,7.4,1611,0.1,18.1,31.3,11.8
"1651","733","A",0,19,19,25.9,28.1,6.5,5.6,1300,2.58,29.3,43.7,6.1
"1652","733","A",19,25,6,21,23.8,7.4,6,1950,0.5,30.6,50,5.6
"1654","733","B",25,65,40,36.2,39.2,7.2,5.9,910,0.52,40.8,42.2,4.7
"1653","733","B",65,97,32,32.4,33.1,7.2,5.8,1137,0.32,43.7,31.6,4.7
"209","733","BC",132,152,20,36.7,39.8,7.1,5.7,960,0.08,36.1,37.1,5.2
"1657","734","A",0,20,20,14.3,17.2,5.6,4.8,5227,1.01,24.5,26.8,12.7
"1659","734","B",30,42,12,18.6,21.3,6.3,4.8,2836,0.47,35.8,23.9,13.3
"1658","734","B",42,75,33,25.4,27.5,6.6,4.9,2107,0.26,38,22.2,9.9
"1662","734","C",150,170,20,21.5,22.3,7.1,4.9,2638,0.13,24.5,21.5,17.4
"1664","735","A",0,12,12,15,19.2,6.2,5,4605,1.44,23.8,22.8,15.9
"1665","735","A",12,26,14,14.3,18.3,6.2,5,6280,1.19,22.4,23.4,16.9
"1667","735","B",34,40,6,22.4,26.1,6.7,4.9,2638,0.58,39.1,16.7,11.4
"1668","735","B",40,64,24,27.6,30.3,7,5,2261,0.5,38.9,16.4,10.9
"1671","735","C",115,155,40,20.7,20.9,7.9,5.9,2387,0.14,16.9,22.5,19.6
"1670","735","C",155,210,55,NA,20.3,8.7,7.2,2806,0.1,13,24.3,20.9
"1672","736","A",0,23,23,18.7,22.2,6.2,5.6,1908,1.83,24.9,21.9,18.1
"1674","736","B",38,64,26,21.8,26.8,6.5,5.1,2545,0.68,34.7,19.9,14.1
"1677","736","C",100,115,15,17.8,20.4,6.8,5,3181,0.21,19.1,21.1,19.1
"1676","736","C",115,210,95,NA,17.4,8.5,6.8,1894,0.1,12.9,24,26
"1678","736","C",210,230,20,NA,16.1,8.5,6.7,1916,0.1,10.6,26.4,27.5
"1679","737","A",0,12,12,18.6,22.8,6,5.1,4497,2.12,26,25,14
"1680","737","A",12,35,23,19,22.6,6,5,5449,2.01,25,25,13.8
"1683","737","B",56,85,29,19.8,23.2,6.6,5,3042,0.55,32.3,22,13.8
"1687","737","C",124,295,171,15.2,16.3,7.2,5.3,5732,0.08,8,18.2,31.4
"1689","738","A",0,12,12,17.4,21,5.8,5.1,4008,1.8,26.2,23.6,16.4
"1688","738","A",12,25,13,16.1,19,6,5.1,5672,1.2,26.6,23,13.6
"1691","738","B",33,55,22,22.7,24.6,6.3,4.9,2672,0.69,37.3,18.9,10.4
"1692","738","B",55,70,15,24.4,26.5,6.5,5,2593,0.43,33.6,22.6,12.6
"1695","738","C",125,145,20,21.4,22,7.1,5.7,3241,0.15,12.2,27.4,14.1
"1697","739","A",0,13,13,21,23.5,6.7,5.5,NA,1.7,24.1,31.6,14.1
"1696","739","A",13,24,11,21.3,21.7,6.7,5.4,NA,1.58,25.4,28.7,16.5
"1699","739","B",40,70,30,26.9,34.8,6.5,5.2,NA,0.53,46.3,19.8,4.5
"1700","739","B",70,100,30,28.8,28.9,6.3,5.2,NA,0.38,33.8,24.2,14.2
"1702","739","C",190,230,40,41.6,40.6,7.1,5.4,NA,0.1,35.1,33,8.2
"1703","739","C",230,250,20,NA,36.7,8.8,7.3,NA,0.07,9.8,32.4,14.9
"1705","740","A",0,15,15,22.5,24.7,6.3,5.5,NA,2.74,23.4,24.2,17.1
"1704","740","A",15,29,14,21.8,23.2,6.4,5.3,NA,2.2,26.8,28.7,12.7
"1707","740","B",36,75,39,32,38.4,6.3,4.7,NA,0.7,54.5,17.4,7.1
"1708","740","B",75,107,32,28.1,31.7,7.1,5.1,NA,0.5,34,28.2,15.9
"1710","740","C",200,220,20,NA,NA,8.6,6.6,NA,0.22,18.7,37.4,12.3
"1712","741","A",0,16,16,16.7,20.4,6.1,5.1,2707,2.13,24.1,32.5,11.1
"1711","741","A",16,38,22,16.3,21.7,6.2,5.2,4040,1.93,25.5,30.7,15.5
"1715","741","B",60,85,25,19.5,22,7,5.2,5356,0.73,35.1,22.8,12
"1716","741","B",85,118,33,18.6,20.4,7.2,5.5,4532,0.37,32.5,23.5,12.8
