"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"1954","779","B",42,70,28,42.8,39.6,9.3,7.3,450,0.22,54.8,18.7,5.1
"256","779","BC",120,173,53,27.6,28.3,9.1,6.7,1025,0.09,30.1,29.5,7.8
"1957","780","A",0,12,12,18.8,21.5,6.8,5.3,4960,1.81,25,35.2,5.8
"1958","780","A",12,25,13,19.8,23,6.8,5.1,4795,1.73,29.1,35.6,5.1
"1961","780","B",34,60,26,31.3,34.5,6.9,4.9,1885,0.71,49.4,26.6,4.2
"1960","780","B",60,84,24,30.5,32.8,7.3,4.9,1833,0.43,44.9,24.2,5.1
"2651","780","BC",84,112,28,28.7,33.3,7.4,5,1735,0.18,36.8,31.5,3.5
"1966","781","A",0,13,13,18,23,6,5,3770,2,26.6,35.6,5.3
"1965","781","A",13,29,16,20.8,22.8,6.2,5,4400,1.69,32.5,32.7,4.8
"1969","781","B",40,80,40,32.3,36.3,7,4.8,1695,0.71,54.4,21.9,3.6
"1968","781","B",80,120,40,31.1,33.5,7.2,5.1,1536,0.43,42.1,29.4,4.3
"2701","781","BC",183,200,17,NA,34.5,9.3,6.9,1521,0.09,31,35.7,5
"1974","782","A",0,20,20,22.3,24.3,7,5.1,7060,2.48,26.5,30.3,8.3
"1973","782","A",20,33,13,22.6,24.4,6.9,5.2,7060,1.98,27.8,22.2,7.5
"1977","782","B",48,88,40,24.2,25.6,6.4,4.8,6707,0.53,41.8,25.5,7
"1976","782","B",88,135,47,26.2,26.7,6.5,4.8,7060,0.34,37.1,26.5,7.3
"1978","782","B",135,158,23,NA,18.8,6.6,4.9,6001,0.15,39.4,25.4,6.3
"1980","782","C",240,274,34,NA,23.9,8,6.8,3177,0.07,29.9,36.5,4.8
"1981","783","A",0,16,16,18.6,21,6,4.9,4033,1.86,25.4,36.4,4.5
"1982","783","A",16,31,15,19.5,22.9,6.3,5.2,4516,1.52,30.6,34.8,4
"1984","783","B",50,78,28,28.8,30,6.7,4.7,1775,0.43,48.1,27,3.2
"1985","783","B",78,100,22,29.5,29.4,7.2,5,1934,0.28,44.3,28.2,3.5
"1988","783","C",185,200,15,27.2,24.1,7.2,5.2,2579,0.08,29.3,37.7,4.3
"1989","784","A",0,23,23,27.4,27.9,7.5,5.8,3630,1.32,35.4,23.2,14
"1991","784","B",23,39,16,39.2,38,8,6.3,3267,1.12,50.4,17.2,10.1
"1990","784","B",39,78,39,NA,23.8,8,6.4,3267,0.27,47.6,20.3,10.7
"2771","784","BC",78,102,24,NA,21,8.6,6.8,3630,0.12,41.6,23.5,11.2
"1994","785","A",0,11,11,14.5,15.7,7.5,6.6,2564,1.35,21.6,28.1,7.4
"1995","785","A",11,20,9,15.6,16.4,8,6.9,2288,1.16,23.4,27.5,7.5
"1997","785","B",20,42,22,NA,36.2,9.3,8,592,0.83,43.1,19.8,5.2
"1996","785","B",42,67,25,NA,36.3,9.4,8,598,0.42,35.9,19.7,5.3
"2000","785","C",165,200,35,NA,23.9,8.6,7.6,1499,0.16,20.8,28.6,8.3
"2002","786","A",0,12,12,22.3,24,6.4,5.3,3952,1.57,29.8,27.2,15.7
"2001","786","A",12,27,15,25.7,27.9,6.7,5.2,3648,1.49,32.3,28.3,14.6
"2003","786","A",27,42,15,22.1,25.1,6.6,4.8,3344,0.84,35.3,26.1,12.6
"2005","786","B",83,130,47,27.7,30.9,6.4,4.3,1575,0.3,48.8,21.1,9.1
"2006","786","B",130,175,45,32.9,32.1,7.1,5.3,1494,0.29,41,26.5,8.8
"2008","786","C",215,235,20,NA,28,8.2,7,1198,0.1,43,27,3.1
"2011","787","A",0,13,13,20.5,22.8,6,5.3,1409,2.37,20.3,28.4,11.9
"2012","787","A",13,24,11,20.2,22.8,6.1,5.3,4241,1.62,24.5,27,13.1
"2015","787","B",49,78,29,26.6,30.8,6.4,4.7,2496,0.34,44.4,18.6,12.4
"2016","787","B",78,118,40,24.8,27,6.5,4.8,2912,0.27,36.2,21.4,12.2
"2018","787","C",160,180,20,24.3,24.8,6.8,4.8,3329,0.07,23.9,25.4,15.1
"2019","788","A",0,16,16,15.5,17.7,7.1,5.6,2748,2.11,25.4,29.5,9.3
"2020","788","B",16,51,35,NA,33.2,8.9,6.8,785,1.01,55.4,18.5,5.3
"2021","788","B",51,76,25,NA,34.3,9.2,7.2,654,0.41,39.5,26.8,5.9
"2023","788","C",133,153,20,NA,26.9,8.8,7.1,1253,0.11,28.8,28,9.3
"2024","789","A",0,6,6,20.6,24.5,6.4,5.4,1872,1.83,25.3,23.7,13.8
"2028","789","B",37,55,18,38.7,38.2,8.7,6.9,1290,0.59,41.9,22.2,8.2
"2027","789","B",55,80,25,NA,36.8,9.1,7.6,1331,0.34,31.9,21.6,4.6
"2030","789","C",124,140,16,NA,27.1,9.1,7.4,1675,0.16,NA,NA,NA
"2031","790","A",0,20,20,18.3,20.6,5.4,4.8,1464,2.23,16.5,21.6,10.2
"2035","790","B",41,71,30,31.8,33.3,6.4,4.8,2094,0.62,53.9,16.3,7.5
"2034","790","B",71,96,25,26.5,26.6,6.8,4.9,2174,0.25,34.4,25.6,11.5
"2036","790","B",96,119,23,25.2,26.5,7.4,5.6,2722,0.19,22.3,30.5,13
"2831","790","BC",119,139,20,24.5,24.5,7.8,6.1,2171,0.16,11.5,27,16.3
"2038","791","A",0,9,9,21.2,27.6,5.7,5.1,2853,2.43,28.7,25.6,10.1
"2039","791","A",9,16,7,21.7,27.2,5.7,5,3736,2.32,28.7,28.7,9.3
"2042","791","B",34,60,26,28.3,32.8,6.1,4.6,2505,0.68,47.7,17,8.2
"2044","791","B",60,79,19,32.9,36.9,6.4,4.9,2094,0.47,54.3,15.1,7.8
"2043","791","B",79,106,27,33,37.6,6.6,5.1,1971,0.44,51.5,16.5,6.6
"2881","791","BC",106,128,22,23.6,25.7,6.6,5,2505,0.17,24.6,26,15.2
"2049","794","A",0,10,10,19.5,24.8,5.3,4.9,1683,2.66,19.8,29.6,9.3
"2048","794","A",10,23,13,19.1,24.6,5.7,4.9,3572,1.9,28.3,24.3,8.1
"2052","794","B",30,40,10,22.5,30.8,5.8,4.8,3244,1.22,41.2,23.3,8.9
"2053","794","B",40,60,20,29,34,6.1,4.7,1971,0.6,53.3,15.1,7.3
"2051","794","B",60,80,20,26.4,30.6,6.5,5,2098,0.48,49.6,14.6,8
"295","794","BC",122,300,178,NA,35,8.5,7.3,1818,0.15,NA,NA,NA
"2057","796","A",0,13,13,22.5,26.2,6.4,5.4,3262,2.62,28.3,33,5.2
"2056","796","A",13,25,12,19.3,21.4,6.5,5.1,3904,1.75,29.5,32.7,5.5
"2060","796","B",34,56,22,30.2,34.8,6.8,4.7,1799,0.73,55.2,19.9,3.4
"2059","796","B",56,90,34,30.2,31.7,7.3,5.3,1833,0.53,47.9,23.6,5.5
"2063","796","C",155,170,15,NA,35.7,8.2,6.8,1358,0.09,41.3,30.3,4.5
"2065","797","A",0,13,13,20.1,24.4,5.9,4.9,3565,2.48,28.9,35.4,4.3
"2064","797","A",13,27,14,20.9,25.1,6.3,4.8,4755,1.7,31.7,35.7,3.7
"2067","797","B",40,76,36,35.5,38.5,6.9,4.8,1597,0.76,56.5,20.6,3.7
"2068","797","B",76,131,55,28,28.7,7.4,5,1937,0.34,40.3,29.5,3.9
"2070","797","C",198,220,22,NA,27.6,8.3,6.8,1866,0.08,26.2,35.6,4.4
"2072","798","A",0,12,12,21.3,24.4,5.8,5.1,1392,3.11,29,36,5.9
"2071","798","A",12,31,19,18.2,22.5,5.9,4.8,4140,2.05,30.3,36.5,5.5
"2076","798","B",58,93,35,24.6,27.1,6.6,5,1750,0.52,44,28.3,6.9
"2075","798","B",93,115,22,25.6,27.4,6.8,5.1,1805,0.24,33.9,30.6,7.8
"2079","798","C",200,220,20,23.7,23.5,7.3,5.3,2032,0.11,24.9,32.3,8.6
"2080","799","A",0,20,20,15.7,18.9,6.7,5.5,4703,1.55,25.2,25.3,11.3
"2081","799","B",20,46,26,24.4,28.5,6.9,5.4,1958,0.83,40.7,25.7,6.1
"2082","799","B",46,70,24,27,30,7.2,5.4,1769,0.53,37.5,29,7.5
"2085","799","C",110,157,47,21,20.6,7.6,5.8,3519,0.22,24,25.5,11
"2088","800","A",0,13,13,20.5,24.9,5.7,5,1958,2.34,26.5,32.9,10.3
"2087","800","A",13,23,10,20.2,24.4,6,4.9,2534,1.87,29.4,30.2,7.1
"2090","800","B",32,60,28,26,28,6.4,4.8,1802,0.6,43.9,24.5,6.3
"2091","800","B",60,100,40,30.2,32.1,6.5,4.8,1744,0.46,42.6,32.4,4.4
"2093","800","C",147,170,23,20.2,20.5,6.7,4.9,4354,0.13,24.9,27.2,11.9
"2100","802","A",0,14,14,17.1,21.4,5.4,4.8,1524,1.98,26.4,32.3,7.1
"2101","802","A",14,28,14,16.7,20.8,5.5,4.7,2390,1.62,26,32.5,7
"2105","802","B",38,70,32,24.2,27.6,6,4.4,1769,0.7,43.2,25.5,5.9
"2104","802","B",70,100,30,26,28.7,6.5,4.7,1542,0.35,37.5,30.9,5.8
"2103","802","B",100,130,30,24.3,26.5,6.6,4.6,1882,0.2,35.6,28.7,6.2
"2108","802","C",220,250,30,NA,25,7.8,6.5,1787,0.06,24,32.6,7.9
"2109","803","A",0,9,9,14.2,17.2,6.4,5.3,4682,2.26,20.4,27,11.2
"2111","803","B",22,45,23,29.6,29.6,9.1,7.1,810,0.5,38.4,23,4.2
"2112","803","B",45,70,25,NA,27.5,9.4,7.5,1013,0.24,33.4,21.3,11.8
"2115","803","C",140,160,20,22.8,24.2,8,5.7,2836,0.05,18.8,25.8,14.7
"2116","804","A",0,23,23,20.5,24.8,6.3,5.2,6077,2.81,25.6,25.1,14
"2117","804","A",23,35,12,16.4,19.7,6.1,5,7906,1.8,23.2,24.8,16.9
"2118","804","B",50,87,37,21.3,25.5,6.4,4.8,2913,0.37,37.8,18.9,15.2
"2119","804","B",87,123,36,19.9,23.5,6.6,4.8,3329,0.23,27.3,23.2,14.8
"2120","804","B",123,157,34,18.2,22.3,6.6,4.6,4161,0.14,26.6,20.5,19.1
"3001","804","BC",157,177,20,21.3,22.9,6.8,4.7,3121,0.09,23.2,26.6,12.6
"2124","805","A",0,16,16,13.6,20.5,5.6,4.4,7064,2.85,26.9,30.2,9
"2123","805","A",16,28,12,13.9,19.3,6.2,4.8,7418,1.56,25.4,28.5,10.8
"2126","805","B",28,65,37,27.1,31.2,6.7,5,7064,0.84,46.4,26.6,6.9
"2125","805","B",65,95,30,23.1,24.3,7,5,6712,0.11,35,28.5,9
"2128","805","C",170,190,20,27,26.8,7,5.2,6369,0.1,27.3,25.1,10.2
"2129","806","A",0,13,13,20.5,23,6,5.2,4807,1.83,27.1,26.5,7.9
"2130","806","A",13,27,14,20.9,23.9,6.3,5.5,4437,1.51,30.5,23.7,10
"2132","806","B",36,60,24,29.2,32,6.6,5.4,2736,0.77,46.5,17.1,8.7
"2133","806","B",60,87,27,28,31,6.6,5.2,2514,0.52,40.3,21.4,10
"2136","806","C",150,180,30,27.4,29.8,6.8,5.1,2342,0.25,30,28.5,7.5
"2137","806","C",180,220,40,NA,30,8,6.9,1837,0.12,NA,NA,NA
"2138","807","A",0,15,15,20.7,25.3,5.7,5.1,3782,1.89,27.3,29.5,6
"2139","807","A",15,29,14,20,24.6,5.8,5.1,4143,1.68,28.1,29.1,8.2
"2143","807","B",41,70,29,31.8,36.3,6.2,4.8,2378,0.67,63.2,17.4,6.1
"2141","807","B",70,94,24,30.5,32.9,6.5,5,2090,0.46,46.2,20.5,7.4
"2142","807","B",94,114,20,27.6,29.4,6.9,5.3,2126,0.25,33.1,26.3,10.4
"2146","807","C",170,200,30,NA,28.6,8,7,1679,0.13,NA,NA,NA
"2147","808","A",0,16,16,NA,32.4,7.5,6.9,2336,3.5,NA,NA,NA
"2148","808","A",16,34,18,29.1,27.1,7.6,6.9,3504,1.58,21.9,33.1,10.1
"2150","808","B",48,85,37,34.5,33.7,7.7,6.5,1277,0.53,38.7,23.2,8.3
"2151","808","B",85,104,19,29.6,28.8,7.9,6.4,1154,0.35,25,30.2,12
"3071","808","BC",104,145,41,26.7,28,7.9,6.3,1191,0.22,22.9,30.8,13
"2155","809","A",0,13,13,18.2,23.2,5.7,4.9,4839,1.91,24.8,26.4,9.3
"2154","809","A",13,26,13,19.1,23,5.6,4.8,2829,1.91,23.4,32.9,10.2
"2158","809","B",38,70,32,27,29,6.3,4.8,2345,0.68,45.5,19.5,9.5
"2157","809","B",70,108,38,26.8,28.5,6.8,5,2308,0.46,42.6,20.3,10.1
"2160","809","C",158,180,22,19.8,20.7,6.7,5,3723,0.12,15.4,24.8,13.9
"2162","811","A",0,13,13,15.7,19.1,5.4,4.8,2308,2.36,22.2,28.2,9.5
"2161","811","A",13,25,12,18,19.1,7,5.6,2941,1,21.3,31.4,10
"2164","811","B",25,45,20,22.9,23.8,8.4,6.4,1098,0.56,28.2,28.2,10.2
"2163","811","B",45,75,30,NA,33.4,9.1,7.2,558,0.32,NA,NA,NA
"2165","811","B",75,100,25,NA,32.9,9.2,7.3,577,0.27,NA,NA,NA
"2168","811","C",180,200,20,NA,28.5,8.7,7,1553,0.12,NA,NA,NA
"2170","812","A",0,17,17,16.2,21.3,5.8,4.7,7064,2.02,30,36.8,4.6
"2169","812","A",17,30,13,17.1,21,6.2,5,6712,1.52,32.1,37.3,4.5
"2171","812","B",30,85,55,27.8,30.6,7.1,5.3,7064,0.39,48.5,26.9,5.6
"2172","812","B",85,135,50,26.4,27.7,6.7,5.6,7064,0.38,41,28.8,6.8
"2174","812","C",185,200,15,19.7,19.8,6.6,5.5,7064,0.09,27.4,28.2,11
"2175","813","A",0,20,20,19.8,25.6,6.3,5.3,2569,1.96,27,33.1,10.7
"2177","813","B",36,84,48,29.7,37.2,7,5.2,1641,0.46,52,20.2,7.2
"3141","813","BC",110,180,70,23.6,25.7,7.1,5.3,2345,0.1,30.6,36.3,8.2
"2180","814","A",0,16,16,19.3,23,6.2,5.3,5409,1.88,23.9,27,7.8
"2182","814","B",32,70,38,29.8,33.6,6.8,5.5,2330,0.51,48.2,17,6.7
"2183","814","B",70,100,30,27.6,30.5,7.2,5.7,2372,0.3,41.2,18.5,10.1
"2187","814","C",230,250,20,NA,33.1,8.4,7,1165,0.1,NA,NA,NA
"2194","817","A",0,16,16,16.4,22.3,6.1,5,2703,2.04,26.2,34,8.6
"2197","817","B",32,70,38,33.5,37.7,7,5.1,1731,0.67,56.9,20.8,3.3
"2196","817","B",70,117,47,32.2,34,7.5,5.4,1522,0.27,47.6,25.6,3.9
"318","817","BC",158,180,22,31.8,34.3,7.6,5.6,1449,0.12,46.9,29.5,3.1
"2201","818","A",0,15,15,19.2,23.7,6.5,5.1,3292,1.95,28.3,29.8,8.8
"2200","818","A",15,25,10,18.6,22.7,6.4,5,3288,1.84,27.9,29.8,8.6
"2203","818","B",25,53,28,35.9,41.9,7.3,5.1,1641,0.43,59.1,16.5,3
"2202","818","B",53,88,35,32.6,33.3,7.6,5.4,1717,0.19,46.2,21.7,7
"2205","818","C",172,200,28,NA,34.1,8.7,6.9,1673,0.09,24.5,32,10.5
"2207","819","A",0,12,12,11.1,17,6.1,4.7,1900,1.3,19.9,34.3,10.3
"2206","819","A",12,23,11,18.2,20.6,7.7,5.7,1670,0.69,25.9,33.5,8.6
"2209","819","B",23,49,26,49.6,50.5,9.4,6.9,596,0.83,59.4,18.6,4.8
"2208","819","B",49,79,30,NA,44.6,9.7,7.2,643,0.05,59.1,20.5,2.5
"324","819","BC",107,180,73,NA,34.3,9.5,6.6,1117,0.02,33.5,33.2,7.4
"2212","820","A",0,18,18,9.7,14.4,6.3,4.7,4074,2.06,18.8,35.6,10.6
"2215","820","B",30,79,49,NA,35,9.8,7.2,524,0.34,43.2,23,4.8
"2214","820","B",79,120,41,36.7,38.5,9.6,7,640,0.2,45.5,23.8,4.4
"2217","820","C",180,220,40,34.1,33.6,9,6.2,1251,0.11,40.5,33,3.6
"2218","821","A",0,18,18,18.7,24.1,5.1,5.1,1957,1.79,26.4,27.4,8.1
"2221","821","B",37,80,43,31.7,37.5,6.5,5.2,1918,0.46,55.3,12.5,5.8
"2222","821","B",80,103,23,29.5,34.4,6.9,5.4,1823,0.25,37.9,23.9,7.1
"2225","821","C",190,210,20,NA,30.8,8.4,7.3,1621,0.07,NA,NA,NA
"2226","822","A",0,18,18,19,25.9,6.2,5,3353,1.81,34.9,27.1,5.9
"2227","822","B",18,47,29,34.4,38,6.8,5.2,1726,0.87,52.3,19.3,4.9
"2228","822","B",47,78,31,34.4,37.7,7.2,5.5,1662,0.79,52.3,20.1,5.6
"331","822","BC",78,124,46,NA,39.7,8.3,6.9,1435,0.1,33.8,28.6,6.8
"2231","823","A",0,18,18,16.2,19.4,6,4.8,3876,1.61,26.8,30.8,8.6
"2232","823","A",18,28,10,16,18.6,6.1,4.6,6137,1.48,28.4,30.9,8.4
"2234","823","B",40,62,22,31.2,32.4,6.8,5.1,1906,0.6,51.6,19.7,6.1
"3351","823","BC",62,140,78,28,28.1,6,5,1615,0.19,34.5,30.2,7.8
"2238","824","A",0,15,15,13.4,14.7,5.6,4.9,1891,1.34,19.6,30.6,11.7
"2237","824","A",15,33,18,16.3,17,5.9,4.7,3081,0.63,28.7,27.2,6.2
"2239","824","B",33,90,57,27.2,29,6.6,4.9,2555,0.35,45.2,19.1,6
"2241","824","C",150,185,35,24,22.8,7.3,5.7,2753,0.11,23.4,31.7,7.4
"2243","825","A",0,16,16,18.6,23.7,6.2,5.2,4862,2.5,23.3,20.8,14.7
"2242","825","A",16,25,9,18.9,24.7,6.1,5.2,6077,1.91,26.5,21.3,12.2
"2245","825","B",25,70,45,32.1,34.8,6.8,5.3,2431,0.79,45.9,17.1,8.2
"2244","825","B",70,95,25,26.8,28.2,6.9,5.4,2836,0.29,31.6,25.5,11.1
"3381","825","BC",165,180,15,24.8,26.5,7.1,5.4,2836,0.1,19.2,28.2,11.5
"2248","826","A",0,17,17,20.9,23.8,6,5.3,3231,2.19,24.7,24.2,6.4
"2250","826","B",27,72,45,31.9,34.4,6.7,5.4,2431,0.57,42.9,21.7,4.3
"2251","826","B",72,104,32,28.7,29.5,6.9,5.4,3231,0.36,35,22.5,11.7
"2253","826","C",158,190,32,NA,26.3,8.4,7.1,2228,0.1,21.5,25.7,5.3
"2254","827","A",0,14,14,19.2,23,6.3,5.3,3231,1.84,25.2,14,13.3
"2255","827","B",14,46,32,29,32.5,6.5,5.3,2836,0.82,40.4,20.2,13.7
"2258","827","C",124,180,56,NA,19.7,8.5,7.3,3635,0.09,18.8,29.2,19.4
"2259","828","A",0,28,28,17.2,20.9,6.3,5.1,4781,1.64,27.8,28.9,8.5
"2261","828","B",28,67,39,28.8,35.6,6.9,5.5,1673,1.2,52.6,18.2,6.9
"2260","828","B",67,105,38,31,33.5,7.4,5.6,1522,0.42,47.1,20.2,6.8
"3461","828","BC",105,175,70,NA,38.7,8.4,7,1702,0.16,32.7,36.3,2.6
"2264","829","A",0,20,20,22.7,27.9,5.9,5.1,1813,2.74,28.5,32.2,9.3
"2263","829","A",20,35,15,21,26.2,6.4,5.2,3346,2.27,30,29.2,8.6
"2265","829","B",35,98,63,32.3,37,7.2,5.4,1455,0.59,55.5,19.6,7.3
"2267","829","C",166,200,34,31.1,35.5,7.4,5.3,2153,0.09,30.3,32.8,6.2
"2268","830","A",0,11,11,17.3,22.3,6.6,5.3,3221,1.93,24.7,36.8,8.4
"2269","830","A",11,29,18,18.4,22.8,6.8,5.3,4141,1.6,30.2,32.9,6.6
"2271","830","B",44,88,44,31,36.1,7,5.2,1609,0.54,51.9,21.7,4.3
"2274","830","C",146,190,44,28.8,29.6,7.7,5.9,1641,0.08,31.7,32.1,7.8
"2275","831","A",0,17,17,21.2,25.2,6.2,5.6,2661,2.63,19.1,28.9,10.2
"2276","831","A",17,31,14,19.4,22.9,6,5.2,3991,1.77,21.8,29,12.3
"2278","831","B",41,86,45,31.3,33.7,6.8,5.3,2913,0.46,46.5,18.2,9.8
"2279","831","B",86,116,30,27.7,29.2,7,5.5,2497,0.24,33.2,26.6,9.8
"2281","831","C",163,180,17,26.2,26.5,7,5.5,1872,0.1,21.2,33.3,11.7
"2282","833","A",0,14,14,19.9,22.8,6.1,5.2,2546,1.88,28.6,21.5,12.1
"2283","833","B",14,64,50,28.3,30.3,6.9,5.3,2546,0.5,39,19.3,13.2
"2286","833","C",175,190,15,NA,26.4,8.5,7.2,2334,0.09,NA,NA,NA
"2288","834","A",0,12,12,16.9,19.5,6.2,5.3,4665,1.86,17.5,21,18.3
"2287","834","A",12,27,15,17.9,20.4,6.3,5.3,3819,1.49,22.9,22.4,20.9
"2289","834","B",27,97,70,27.6,30.5,6.6,5,2970,0.59,41.4,19.6,15.6
"2291","834","C",175,195,20,NA,22.5,8.3,7.1,1485,0.09,18.1,25,14.8
"2292","835","A",0,10,10,17.9,21.5,5.4,NA,NA,2.14,27.8,35.1,5.7
"2293","835","A",10,23,13,21,25.3,5.8,NA,NA,1.96,34.4,30.7,5.1
"2295","835","B",23,62,39,34.2,38.1,6.5,NA,NA,0.92,58.7,16.9,4.2
"2294","835","B",62,95,33,34.9,37.6,7.1,NA,NA,0.57,57.9,18.2,3.8
"3501","835","BC",95,130,35,39.6,41.1,8.1,NA,NA,0.34,25.6,44.3,4.4
"2298","836","A",0,16,16,18.6,19.6,6.4,NA,NA,2.12,22.2,30.2,12.5
"2299","836","A",16,30,14,21,22.3,6.3,NA,NA,1.55,31,25.9,10.5
"2301","836","B",30,59,29,31.8,33.8,6.2,NA,NA,0.93,56,16.2,4.5
"2300","836","B",59,85,26,29.5,30.9,7,NA,NA,0.47,49.5,19.6,6.5
"3581","836","BC",85,153,68,26.6,26.8,6.6,NA,NA,0.21,35.4,24,10.2
"2312","838","A",0,22,22,13.6,14.5,6.6,5.6,3568,1.64,17,20.6,31.4
"2314","838","B",34,51,17,18.5,21,7.6,5.5,4014,0.78,28.5,20.6,24
"2313","838","B",51,70,19,23.1,26.1,7.7,5.6,2542,0.34,32.5,18.5,26.1
"2316","838","C",110,130,20,15.8,16.7,7.2,5.2,5352,0.24,17.7,13.5,37.2
"2318","841","A",0,15,15,19.1,24.1,5.7,4.9,1758,2.16,28,21.9,12.2
"2319","841","A",15,26,11,18.2,22.8,6,5.2,3477,1.63,28.5,22.3,13.4
"2321","841","B",38,75,37,19.6,24.3,6.5,5.3,3439,0.53,33.5,16.3,13.9
"2323","841","C",105,125,20,15.1,17.4,6.8,5.4,4991,0.09,14.2,22.2,23.4
"2324","842","A",0,12,12,13.3,17.3,5.6,4.8,1738,1.83,20.3,24,13
"2325","842","A",12,23,11,13.9,17.4,6,5.1,3880,1.38,18.9,25,13.8
"2326","842","B",35,60,25,25.7,27.2,8.3,6.3,1257,0.51,29.3,27.7,11.6
"2328","842","C",89,109,20,NA,16.5,9.4,7.9,1252,0.08,11.7,14.3,22.8
